shipment_id,order_date,vehicle_type,region,weather_condition,distance_km,delivery_time_hr,delivery_cost,customer_rating,distance_km_minmax,delivery_time_hr_minmax,delivery_cost_minmax,distance_km_zscore,delivery_time_hr_zscore,delivery_cost_zscore,cost_per_km,order_day_of_week,is_delayed
SHIP1000,2026-01-01 00:00:00,Truck,North,Clear,26.76,2.77,427.0,3.0,0.6980585831062669,0.370260663507109,0.43336976732499116,1.073720941230591,-0.6649621227582507,-0.3158856716438169,15.96,Thursday,0
SHIP1001,2026-01-01 07:00:00,Mini-Truck,North,Fog,16.71,5.46,367.01,4.0,0.4698569482288828,0.7952211690363348,0.33287895539139317,-0.15363714340430165,1.5793963729957448,-0.7977157388334342,21.96,Thursday,1
SHIP1002,2026-01-01 14:00:00,Bike,North,Clear,30.67,3.82,314.81,1.0,0.7868415077202542,0.5361374407582938,0.24543737541249983,1.5512304050039671,0.21108859119776963,-1.216977774294311,10.26,Thursday,1
SHIP1003,2026-01-01 21:00:00,Truck,Central,Clear,36.46,2.79,393.82,4.0,0.9183128973660307,0.37342022116903634,0.3777890848786371,2.2583352119727262,-0.6482754424924217,-0.5823821148735469,10.8,Thursday,0
SHIP1004,2026-01-02 04:00:00,Van,West,Fog,15.43,3.95,467.04,3.0,0.4407924613987284,0.5566745655608215,0.5004418144965408,-0.3099573770692433,0.31955201292565816,0.0057091923380513795,30.27,Friday,1
SHIP1005,2026-01-02 11:00:00,Van,Central,Clear,14.39,3.54,362.98,2.0,0.41717756584922794,0.49190363349131117,0.3261281973968541,-0.4369675669220082,-0.02252493252383569,-0.8300840530653752,25.22,Friday,0
SHIP1006,2026-01-02 18:00:00,Van,West,Rain,19.19,2.91,599.29,1.0,0.5261693914623069,0.39237756714060035,0.7219772350369364,0.14923330932152265,-0.5481553608974479,1.0679200005698706,31.23,Friday,0
SHIP1007,2026-01-03 01:00:00,Mini-Truck,Central,Clear,14.18,1.82,351.2,3.0,0.4124091734786557,0.22018167456556093,0.30639521248973983,-0.4626138552576628,-1.4575794353851264,-0.9246991254356653,24.77,Saturday,0
SHIP1008,2026-01-03 08:00:00,Bike,Central,Fog,13.01,5.23,525.45,5.0,0.38584241598546776,0.7588862559241706,0.5982859272660268,-0.6055003188420234,1.387499549938712,0.4748489527072054,40.39,Saturday,1
SHIP1009,2026-01-03 15:00:00,Bike,East,Clear,13.71,3.75,302.82,2.0,0.4017370572207084,0.5250789889415481,0.2253526140342061,-0.5200126910565084,0.1526852102673684,-1.3132795330141562,22.09,Saturday,1
SHIP1010,2026-01-03 22:00:00,Van,Central,Storm,31.73,6.11,662.53,4.0,0.8109105358764758,0.897906793048973,0.8279122066435498,1.6806830985077468,2.121713481635186,1.5758535469787953,20.88,Saturday,1
SHIP1011,2026-01-04 05:00:00,Mini-Truck,South,Rain,24.18,4.63,670.51,2.0,0.6394754768392369,0.6640995260663506,0.8412797125483691,0.758637970249693,0.8868991419638427,1.6399476282618952,27.73,Sunday,1
SHIP1012,2026-01-04 12:00:00,Bike,East,Clear,14.15,4.16,520.92,5.0,0.411727974568574,0.5898499210110584,0.5906976062448699,-0.4662776107341848,0.4947621557168622,0.43846471859536995,36.81,Sunday,1
SHIP1013,2026-01-04 19:00:00,Van,Central,Clear,-1.64,2.98,688.95,5.0,0.0531902815622162,0.403436018957346,0.8721690369700319,-2.3946342432103,-0.48975197996704667,1.7880547534323663,-420.09,Sunday,0
SHIP1014,2026-01-05 02:00:00,Van,North,Storm,18.205,2.19,492.7,2.0,0.5038033605812896,0.27863349131121645,0.5434255490225639,0.028940004509047747,-1.1488758504672907,0.21180620057418342,27.06,Monday,0
SHIP1015,2026-01-05 09:00:00,Van,South,Clear,22.03,3.24,542.22,4.0,0.590656221616712,0.4445102685624013,0.6263777911787862,0.4960688277656117,-0.27282513651127,0.6095429054788318,24.61,Monday,0
